run_date,run_id,dataset_version,question_id,question,category,fallback_triggered,first_relevant_rank,mrr,faithfulness,answer_relevance,correctness,latency_s,response_preview
,,,Q01,Chi è il presidente del CNI?,organi,False,,,,,,296.15,
,,,Q02,Chi sono il vicepresidente e il consigliere segretario del Consiglio Nazionale degli Ingegneri?,organi,False,,,,,,192.31,
,,,Q01,Chi è il presidente del CNI?,organi,False,,,,,,227.63,
,,,Q01,Chi è il presidente del CNI?,organi,False,,,,,,421.27,
,,,Q01,Chi è il presidente del CNI?,organi,False,,,,,,488.71,
,,,Q02,Chi sono il vicepresidente e il consigliere segretario del Consiglio Nazionale degli Ingegneri?,organi,False,,,,,,751.48,
,,,Q03,Che cos'è il Consiglio Nazionale degli Ingegneri?,organi,False,,,,,,380.64,
,,,Q04,Quali sono i compiti istituzionali del CNI?,organi,False,,,,,,350.66,
,,,Q05,Dove si trova la sede del CNI?,contatti,False,,,,,,242.44,
,,,Q06,Qual è l'indirizzo email e il numero di telefono del CNI?,contatti,False,,,,,,155.87,
,,,Q07,Come funziona la formazione continua per gli ingegneri?,formazione,False,,,,,,382.22,
,,,Q08,Cos'è il codice deontologico degli ingegneri?,normativa,False,,,,,,670.15,
,,,Q09,Chi era stato eletto presidente del CNI nella XX Sessione nel novembre 2022?,organi,False,,,,,,541.58,
,,,Q10,Chi è l'attuale presidente del Consiglio Nazionale degli Ingegneri?,organi,False,,,,,,595.13,
,,,Q01,Chi è il presidente del CNI?,organi,False,,,,,,160.88,
,,,Q02,Chi sono il vicepresidente e il consigliere segretario del Consiglio Nazionale degli Ingegneri?,organi,False,,,,,,208.7,
,,,Q03,Che cos'è il Consiglio Nazionale degli Ingegneri?,organi,False,,,,,,123.79,
,,,Q04,Quali sono i compiti istituzionali del CNI?,organi,False,,,,,,145.96,
,,,Q05,Dove si trova la sede del CNI?,contatti,False,,,,,,154.21,
,,,Q06,Qual è l'indirizzo email e il numero di telefono del CNI?,contatti,False,,,,,,213.26,
,,,Q07,Come funziona la formazione continua per gli ingegneri?,formazione,False,,,,,,309.31,
,,,Q08,Cos'è il codice deontologico degli ingegneri?,normativa,False,,,,,,280.28,
,,,Q09,Chi era stato eletto presidente del CNI nella XX Sessione nel novembre 2022?,organi,False,,,,,,319.21,
,,,Q10,Chi è l'attuale presidente del Consiglio Nazionale degli Ingegneri?,organi,False,,,,,,200.23,
,,,Q11,Quali norme disciplinano il Consiglio Nazionale degli Ingegneri nell'ordinamento giuridico italiano?,normativa,False,,,,,,163.63,
,,,Q12,Qual è il codice fiscale del Consiglio Nazionale degli Ingegneri?,contatti,False,,,,,,160.69,
,,,Q13,Come si chiama l'ufficio del CNI che si occupa delle relazioni internazionali?,internazionale,False,,,,,,166.8,
,,,Q14,In base a quale normativa il CNI ha attivato il canale di segnalazione whistleblowing?,servizi,False,,,,,,281.35,
,,,Q15,Chi promuove la piattaforma di whistleblowing utilizzata dal CNI?,servizi,False,,,,,,232.09,
,,,Q16,Cosa bisogna superare per diventare un ingegnere professionista in Italia?,professione,False,,,,,,168.51,
,,,Q17,Chi determina i contenuti dell'esame professionale per gli ingegneri?,professione,False,,,,,,204.17,
,,,Q18,Qual è la differenza tra Ingegnere Junior e ingegnere professionista?,professione,False,,,,,,177.62,
,,,Q19,A cosa serve il certificato EUR ING per gli ingegneri?,internazionale,False,,,,,,131.33,
,,,Q20,Quali cittadini stranieri possono esercitare una professione regolamentata in Italia dopo il riconoscimento del proprio titolo?,internazionale,False,,,,,,212.54,
,,,Q21,Con quale società il CNI ha stipulato una convenzione per la firma digitale?,servizi,False,,,,,,240.06,
,,,Q22,Esistono Ordini Provinciali degli Ingegneri nelle città di Trento e Bolzano?,organi,False,,,,,,149.45,
,,,Q23,Che documenti pubblica il CNI nell'area giurisdizionale a supporto dei CTU?,temi,False,,,,,,150.19,
,,,Q24,Quale giornata nazionale dedica il CNI all'ingegneria della sicurezza?,eventi,False,,,,,,207.38,
,,,Q25,Cosa chiede la filiera delle costruzioni al Governo riguardo ai bonus edilizi nella legge di bilancio 2022?,news,False,,,,,,283.68,
,,,Q26,In collaborazione con quali enti il CNI ha pubblicato i quaderni tecnici sulla progettazione antincendio?,pubblicazioni,False,,,,,,242.05,
,,,Q27,Secondo quale regola tecnica del Codice di prevenzione incendi viene trattata la progettazione antincendio per gli edifici tutelati come musei e biblioteche?,pubblicazioni,False,,,,,,182.19,
,,,Q28,Di quale federazione mondiale delle organizzazioni di ingegneria fa parte il CNI?,internazionale,False,,,,,,161.77,
,,,Q29,Esiste nell'albo unico del CNI un elenco speciale riservato ai professori universitari?,professione,False,,,,,,159.22,
,,,Q30,Quando si è svolta l'Assemblea dei Delegati di Ingegneria Forense organizzata dal CNI?,temi,False,,,,,,221.96,
